type_annonce,nombre_pieces,prix (F CFA),Adresse,Image Link
Vente,5,300.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5179400_uploaded_image1_1739207149.jpg
Vente,15,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193614_uploaded_image1_1739985708.jpg
Location,5,1.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198484_uploaded_image1_1740245265.jpg
Vente,5,40.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188400_uploaded_image1_1739722502.jpg
Vente,3,11.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188396_uploaded_image1_1739722175.jpg
Vente,5,50.000.000,"Fatick, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5167947_uploaded_image1_1738616626.jpg
Location,6,650.000,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5184382_uploaded_image1_1739460128.jpg
Vente,6,170.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188375_uploaded_image1_1739721159.jpg
Location,9,800.000,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5151976_uploaded_image1_1737759053.jpg
Location,6,1.600.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196702_uploaded_image1_1740148427.jpg
Location,7,2.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5184268_uploaded_image1_1739455865.jpg
Vente,Non spécifié,125.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5157253_uploaded_image1_1738071962.jpg
Vente,5,250.000.000,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5174933_uploaded_image1_1738935517.jpg
Location,Non spécifié,300.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198223_uploaded_image1_1740232509.jpg
Vente,8,18.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170215_uploaded_image1_1738700979.jpg
Vente,10,65.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5156812_uploaded_image1_1738058864.jpg
Vente,20,99.000.000,"Toubab Dialao, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5159005_uploaded_image1_1738154903.jpg
Vente,10,95.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5153155_uploaded_image1_1737836922.jpg
Location,5,900.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187005_uploaded_image1_1739622672.jpg
Location,Non spécifié,1.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169072_uploaded_image1_1738666505.jpg
Location,9,1.200.000,"Mariste, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192982_uploaded_image1_1739964540.jpg
Location,8,3.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192960_uploaded_image1_1739963956.jpg
Vente,5,300.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189287_uploaded_image1_1739790072.jpg
Location,10,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188104_uploaded_image1_1739703899.jpg
Location,6,1.000.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194728_uploaded_image1_1740048794.jpg
